ID,Age,Ethnicity,Education,Income,Gender,Gender_4_TEXT,Party,Sup_MP1_1,Jus_MP1_1,Like_MP1_1,Sup_MP2_1,Jus_MP2_1,Like_MP2_1,Sup_MP3_1,Jus_MP3_1,Like_MP3_1,Sup_MP4_1,Jus_MP4_1,Like_MP4_1,Sup_MP5_1,Jus_MP5_1,Like_MP5_1,Sup_OG1_1,Jus_OG1_1,Like_OG1_1,Sup_OG2_1,Jus_OG2_1,Like_OG2_1,Sup_OG3_1,Jus_OG3_1,Like_OG3_1,Sup_OG4_1,Jus_OG4_1,Like_OG4_1,Sup_OG5_1,Jus_OG5_1,Like_OG5_1,Sup_IP1_1,Jus_IP1_1,Like_IP1_1,Sup_IP2_1,Jus_IP2_1,Like_IP2_1,Sup_IP3_1,Jus_IP3_1,Like_IP3_1,Sup_IP4_1,Jus_IP4_1,Like_IP4_1,Sup_IP5_1,Jus_IP5_1,Like_IP5_1,Comp,Comment,Condition,Comprehend
R_0vX6h3nERJj0XUl,35-54,Non-Hispanic White,HS Diploma/GED or Less,$50K - $100K,Male,,Democrat,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_2Pd106nemzJX2L7,18-34,Hispanic,Graduate Degree,$50K - $100K,Male,,Democrat,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,yes,Meta-P Condition,Pass
R_1n11t6YftC6h0SO,18-34,Hispanic,Graduate Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,22,24,90,92,86,88,80,82,75,93,83,18,19,22,Republican Party,None,Ingroup-P Condition,Pass
R_x4vVRXNytff52Ol,18-34,Non-Hispanic White,Some College (No Degree),$0 - $50K,Male,,Republican,67,30,67,63,31,31,35,31,35,43,43,38,35,73,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,,Meta-P Condition,Pass
R_3gFmhENgh4r4ijL,35-54,Non-Hispanic White,Graduate Degree,$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,64,64,60,88,87,99,26,33,30,77,74,82,63,78,74,,,,,,,,,,,,,,,,Republican Party,no,Actual-P Condition,Pass
R_USAECatq9yE0czT,55+,Non-Hispanic White,College Degree,$50K - $100K,Female,,Republican,100,92,100,100,100,100,97,100,100,100,100,100,75,33,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,,Meta-P Condition,Pass
R_UfFeC7lMRB9umEp,18-34,Non-Hispanic White,HS Diploma/GED or Less,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,24,84,82,84,100,99,100,1,1,2,1,1,1,Republican Party,,Ingroup-P Condition,Pass
R_1EWYZsHGL6U3SHO,55+,Non-Hispanic Black,HS Diploma/GED or Less,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,,,,,,,,,,,,,,,,Republican Party,Thank you,Actual-P Condition,Pass
R_2CvQjhWgKoiEwob,35-54,Hispanic,Some College (No Degree),$0 - $50K,Male,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,81,100,100,100,100,34,16,27,100,100,100,Republican Party,No,Ingroup-P Condition,Pass
R_1PTe4C8jvyYD5At,18-34,Non-Hispanic Black,Some College (No Degree),$50K - $100K,Female,,Democrat,55,43,42,57,62,40,57,57,45,45,56,54,57,54,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,uygihjo,Meta-P Condition,Pass
